time,binance,benchmark,target,kalshi_p_up,jr_forecast,jr_p_up,dir
01:18:30,59630.9,59507.95,59504.44,0.46499999999999997,59515.913671969625,0.5304388042192087,UP
01:19:07,59630.9,59487.122500000005,59504.44,0.455,59486.74793821549,0.45303149864896725,DOWN
01:19:44,59630.9,59485.455,59504.44,0.455,59485.14902861273,0.44632536455641064,DOWN
01:20:20,59579.53,59513.134999999995,59504.44,0.535,59501.68144657156,0.49222047886293857,DOWN
01:20:56,59579.53,59528.75,59504.44,0.585,59517.546033043036,0.5389008435627178,UP
01:21:32,59579.53,59519.96000000001,59504.44,0.635,59515.15846792818,0.5339216389272543,UP
01:22:08,59585.05,59497.270000000004,59504.44,0.585,59495.877658476,0.47290553285748027,DOWN
01:22:45,59585.05,59474.84999999999,59504.44,0.375,59473.86793805267,0.3976487954808724,DOWN
01:23:22,59508.86,59412.1575,59504.44,0.455,59401.40648783492,0.19197004628603898,DOWN
01:23:59,59508.86,59401.2325,59504.44,0.095,59391.92817477565,0.1429554162387418,DOWN
01:24:35,59508.86,59397.2825,59504.44,0.091,59388.51978257418,0.11421734569955744,DOWN
01:25:11,59508.86,59399.36,59504.44,0.0865,59397.02643371482,0.13087378255196785,DOWN
01:25:48,59425.54,59342.667499999996,59504.44,0.0135,59326.5761677536,0.02261055259088396,DOWN
01:26:24,59425.54,59344.36,59504.44,0.016,59339.237068302275,0.015865196929444547,DOWN
01:27:00,59425.54,59323.4125,59504.44,0.0055,59322.38322485085,0.008895947902432533,DOWN
01:27:36,59425.54,59337.5725,59504.44,0.0015,59336.884827969174,0.0037773648192740983,DOWN
01:28:13,59425.54,59317.945,59504.44,0.0015,59318.30842302593,0.0013673516403737707,DOWN
01:28:49,59382.91,59296.4275,59504.44,0.0005,59294.74066813024,1.0528963430012084e-06,DOWN
01:29:25,59329.38,59237.42749999999,59504.44,0.0005,59231.94049483019,5.481781695237942e-10,DOWN
01:30:00,59312.97,59216.42,59504.44,0.445,59203.27999302383,0.3934737937529797,DOWN
